user_id	recommended_items
user_01vPMYvi	vkOg9ZAiUgUT87k6,32m5suoC94ytD8Ed,EBB7mUheKyVbv6OI,e8SzjFTY8PQsuSv9,6tNm6X39hx0fsKMS,7PX1VlK5HWCGAoFE,kBr0IldeL8nPVe8B,DDWsvUWLCl8gpWpA,AYxLbkF55hvueDLM,YwURIu6eZDCJyuEf
user_02DWuQOR	0247XD85scrr19o0,gi87QwzTUGcL1k1X,xLfIc1W1z09zf31N,I7a0b4AepLH0BAeG,gwvPArYgGYjVpxjY,umrRdJWS4OmW2Kw9,NQ4QBgc2f1wOyV6y,U7S1dz0bq8sdsH9w,48c10ilafPYDEaKl,rHbIqvGfTL1vtZTa
user_02Q0tXXI	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,7Gsb7yKtAJNCvWez,8LgQbYbM6Vz2my0y,3shrACNQQ5eeQEAO,VrcuQyq4bKCHc54l,KKmk2QJLVj2Aqsjg,6YdzDwnoQ34wZoyv,KnMItrBYhHFixzJT
user_02jFGVkG	iwdv3OhjItl3B37s,wOP1QdJ9QeAUNP9k,YGHAPq74UsLiRKSW,eD0LakhcKp3W8zFl,UTDxdZ1outySsU7O,9iOJzEpYsrQ5NmnZ,5al5qqdnb6b95FNp,UNl0u7kKQp2Y8gZ3,0zqZG0zXeuORyQOF,YbUDglRPMJciQAVq
user_02pcUMVW	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,7Gsb7yKtAJNCvWez,8LgQbYbM6Vz2my0y,3shrACNQQ5eeQEAO,EBB7mUheKyVbv6OI,e8SzjFTY8PQsuSv9,FuVju35v7B0jtKeU,7PX1VlK5HWCGAoFE
user_031DANCb	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,7Gsb7yKtAJNCvWez,8LgQbYbM6Vz2my0y,3shrACNQQ5eeQEAO,e8SzjFTY8PQsuSv9,EBB7mUheKyVbv6OI,Pf7CTDMAqnLhbcY2,FuVju35v7B0jtKeU
user_03A4cBR7	K0dncQ5f3Q3JRvVc,AlWLriMCJutp0wgi,BE1QNQUolcMj2xck,8qat4Ol3s1IbygSh,LInuuaoUJ4wn5ftC,txyqxC0R6SXXLrVo,hCK0KIO2I3dxHdvn,Sgq3YGfOcOMFRKRc,mInJrG91UI2ynS3w,w5fRo3yhlsL4zpq6
user_03HNYbGS	qa27IJGLVySu37nb,vVRCNgs0nfsKraWB,eS3mrTEyITwusOpz,umrRdJWS4OmW2Kw9,NWxoKXzVVUMQa592,QofX3CYVokVdpTLY,gwvPArYgGYjVpxjY,B5WGtHW2bO7bIYGw,TTdPbfkpVX4ERufX,ah75VkHYpdYw3sO4
user_03X3qJtv	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,7Gsb7yKtAJNCvWez,8LgQbYbM6Vz2my0y,e8SzjFTY8PQsuSv9,3shrACNQQ5eeQEAO,7PX1VlK5HWCGAoFE,EBB7mUheKyVbv6OI,KKmk2QJLVj2Aqsjg
user_03f7vI4Z	gdj3W2IhsgHh0tBM,mFCMyvJFUDjX7ixS,edaQ5qKLaRCjFUpE,Xs9JKeIIHHrzMsPs,UgA1NInEjyanEpAI,f6uetToyihPxi0Kg,4lVSWCzgd7ic0kl3,9LJJEpfBEBnvCErw,kGmlujywtlW2NTI2,2w2zPkr1lDvDjh5E
user_04EVkvDS	RgTFw88qaBc4FW3m,gYg9E10Os9JfZyc2,xtMZ9ONNjQD03fE9,36ujJOdGQv5FACcs,EMk8hdV9zpyiy5iJ,hVhxTplOqgvaj4Ir,hn1Z3OcZ4HM3hcIi,dPa2ZmGsMqympPA0,FEI4yctSyeux0vOb,MwnVtpCds5ncb4zO
user_04ausIp8	punIhlBkwM0vB9oy,FS2f3ubSCSZfY23P,w7mecs8GtHUCTvR1,Va8v4si2MqjdL3fB,DWXRkmGelR8Rvpve,2beKEuw33da5uH6k,PykDJNppQnj19nwg,HNUD0wU720tV2jyu,1K2pmfod8jGXqAa2,kHext4kltqDFZgku
user_04jXRyvm	vkOg9ZAiUgUT87k6,32m5suoC94ytD8Ed,gBo2BOVEicB5SCVi,kBr0IldeL8nPVe8B,YwURIu6eZDCJyuEf,FuVju35v7B0jtKeU,EBB7mUheKyVbv6OI,mB7mP6ikfQFCVLdq,r1VeZfiojPatooDT,kfiD4pEhO7oZ1gFm
user_06CFDTge	Qb5dnzZ4hi1SRBCJ,NpD8c6feghCVosBs,2td5yGeNTAjOfewU,1QvEYR38ignsKr7b,lDvM9oq1ZvzpvNkM,x5Se6AkcJ1ftXXFq,rQ3zp7DBTXFGJnEo,jMHgI7C8egy7Z6nJ,MsiBpKdDHEp0Vky1,qZY5E1sGYBQhgLmn
user_06DtYDzj	D2tV669tfmq77UfB,mqxzNwZnzP2N5h5Z,AAqLm37GHgbH0QSH,z16bhDOOzS8Pymmy,HEGpy1yXZm6tqvt2,NoxfuYvZWLCIkcFz,HQsvfR4t0Bdt8PUa,punIhlBkwM0vB9oy,FS2f3ubSCSZfY23P,obDw2LasHNPFXmzS
user_06XuFtIy	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,7Gsb7yKtAJNCvWez,YwURIu6eZDCJyuEf,8LgQbYbM6Vz2my0y,3shrACNQQ5eeQEAO,punIhlBkwM0vB9oy,l2kISVY4j8iz1Gg7,1K2pmfod8jGXqAa2,KKmk2QJLVj2Aqsjg
user_06cO2Ozr	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,e8SzjFTY8PQsuSv9,7Gsb7yKtAJNCvWez,EBB7mUheKyVbv6OI,7PX1VlK5HWCGAoFE,8LgQbYbM6Vz2my0y,3shrACNQQ5eeQEAO,DDWsvUWLCl8gpWpA
user_06kNhNYa	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,e8SzjFTY8PQsuSv9,7PX1VlK5HWCGAoFE,DDWsvUWLCl8gpWpA,YwURIu6eZDCJyuEf,6tNm6X39hx0fsKMS,EBB7mUheKyVbv6OI,Tcpd8W1qdOHIydAc,7Gsb7yKtAJNCvWez
user_06nC1Osx	gYg9E10Os9JfZyc2,FRkBH8N5HiBh3ztm,YQAhQJrci52RNpdA,vkOg9ZAiUgUT87k6,jPv1Tj4Mgo4l2Oue,FYOOuLQrOIxliDHm,FvdOhsrQxD0TXhPN,hbcO8bNscxjj3Rkc,hn1Z3OcZ4HM3hcIi,FCDdIKMph4UWizOU
user_06t8E8ki	d295QDgjkWr2JMk4,L8PKl3Hy2MrlHvlQ,B7KGt1Gg3AZ6mVr7,ONgp8MrAfq2G4Yma,cM5WtQps3txHEoKF,pAd7kQdenSBvW8Ml,zsoxnWmdvDntNQm0,ezX9ll77aa3NUOGr,oh8bvN5E6hgKTMOz,MOKzt8Xkzy0JFJZc
user_076jAOuQ	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,7Gsb7yKtAJNCvWez,8LgQbYbM6Vz2my0y,EBB7mUheKyVbv6OI,3shrACNQQ5eeQEAO,rZTaQ73HsP9emGs8,e8SzjFTY8PQsuSv9,EQeRaQuzupJSeJYX
user_07JXQt4u	vkOg9ZAiUgUT87k6,32m5suoC94ytD8Ed,e8SzjFTY8PQsuSv9,kBr0IldeL8nPVe8B,EBB7mUheKyVbv6OI,YwURIu6eZDCJyuEf,7PX1VlK5HWCGAoFE,6tNm6X39hx0fsKMS,DDWsvUWLCl8gpWpA,rbNba9o60sGjKLmh
user_07Q5KjtI	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,7Gsb7yKtAJNCvWez,8LgQbYbM6Vz2my0y,EBB7mUheKyVbv6OI,3shrACNQQ5eeQEAO,e8SzjFTY8PQsuSv9,KKmk2QJLVj2Aqsjg,Pf7CTDMAqnLhbcY2
user_07TMvffG	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,7Gsb7yKtAJNCvWez,8LgQbYbM6Vz2my0y,rbNba9o60sGjKLmh,3shrACNQQ5eeQEAO,EBB7mUheKyVbv6OI,cU7wXxFv0vUJTZwr,h4FVkBtXFDQSrlbX
user_07lkDDkw	39doFIRBCikXYCTo,BVWV9Kuk6IdiJ6Ny,mFCMyvJFUDjX7ixS,hIo1NnmlNrVuTh0Z,rTapC7xn1Xz62yOf,xPfiKTn3YmvLMpGW,xOyScgiztu4p6Jgk,TYkYW63m3EYMEJX7,LUJpPjIsr4d4IvqM,6ZPz7Mfm519kkRPO
user_083iQpV5	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,7Gsb7yKtAJNCvWez,8LgQbYbM6Vz2my0y,3shrACNQQ5eeQEAO,jznaBggs140GlHGH,KKmk2QJLVj2Aqsjg,Fk1AOlb7xzZbr594,l59tIfKvcWtRYClk
user_088flMMT	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,7Gsb7yKtAJNCvWez,8LgQbYbM6Vz2my0y,3shrACNQQ5eeQEAO,EBB7mUheKyVbv6OI,KKmk2QJLVj2Aqsjg,e8SzjFTY8PQsuSv9,KnMItrBYhHFixzJT
user_08YyAOLt	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,7Gsb7yKtAJNCvWez,8LgQbYbM6Vz2my0y,3shrACNQQ5eeQEAO,EBB7mUheKyVbv6OI,e8SzjFTY8PQsuSv9,FuVju35v7B0jtKeU,6tNm6X39hx0fsKMS
user_08aI4nGD	39doFIRBCikXYCTo,rTapC7xn1Xz62yOf,AvZ6eMLFGSylmqUr,zI3j3T5qkiylIBaD,32m5suoC94ytD8Ed,TYkYW63m3EYMEJX7,vkOg9ZAiUgUT87k6,2w2zPkr1lDvDjh5E,mFCMyvJFUDjX7ixS,EWuwnlfNUZaBiZTx
user_08uFTEyr	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,EBB7mUheKyVbv6OI,7Gsb7yKtAJNCvWez,e8SzjFTY8PQsuSv9,FuVju35v7B0jtKeU,8LgQbYbM6Vz2my0y,6tNm6X39hx0fsKMS,7PX1VlK5HWCGAoFE
user_09fQukcf	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,7Gsb7yKtAJNCvWez,e8SzjFTY8PQsuSv9,EBB7mUheKyVbv6OI,8LgQbYbM6Vz2my0y,3shrACNQQ5eeQEAO,7PX1VlK5HWCGAoFE,KKmk2QJLVj2Aqsjg
user_09oFnxX5	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,7Gsb7yKtAJNCvWez,8LgQbYbM6Vz2my0y,KKmk2QJLVj2Aqsjg,3shrACNQQ5eeQEAO,6YdzDwnoQ34wZoyv,rbNba9o60sGjKLmh,Pf7CTDMAqnLhbcY2
user_09y1WGSJ	mlq4F69u3jr768fh,8zpRRyAbQ2jizIrc,4cf4OG8OpMhiQ9Jn,NGzTBKIghkUXsPgW,ldJKjoPZngXIaenx,jRJUbLA63uC4Ikdm,fEetPANR9ns1T5bh,7LNeVzflZgc08Pfa,QaedEAVI4pgSQcXq,VHEVsKLSHv9FLNrx
user_0AgZXsm4	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,e8SzjFTY8PQsuSv9,7Gsb7yKtAJNCvWez,EBB7mUheKyVbv6OI,8LgQbYbM6Vz2my0y,7PX1VlK5HWCGAoFE,3shrACNQQ5eeQEAO,4Ftif9qQReU76eG4
user_0BX9L05X	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,7Gsb7yKtAJNCvWez,8LgQbYbM6Vz2my0y,3shrACNQQ5eeQEAO,e8SzjFTY8PQsuSv9,EBB7mUheKyVbv6OI,KKmk2QJLVj2Aqsjg,7PX1VlK5HWCGAoFE
user_0BZUk6bj	ye6SUPDliXCR2kMs,597hTePyNRvclm7x,NeiQXDjkqQXiLxcR,8cuzjYU2ojpqgYq0,4tMGjsLTyMip06kX,L3nEDZUgJYoL0GU6,QrV9CUo46zazVaWV,X1skTNKZ8HuwEDwC,0ltYJZpJLaxEdGd7,nV3qkE7nkZC1tiq8
user_0Bomhmx1	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,7Gsb7yKtAJNCvWez,8LgQbYbM6Vz2my0y,3shrACNQQ5eeQEAO,EBB7mUheKyVbv6OI,e8SzjFTY8PQsuSv9,6YdzDwnoQ34wZoyv,TPJ4APR5Pcv5OglJ
user_0C0uAf8j	597hTePyNRvclm7x,NeiQXDjkqQXiLxcR,4tMGjsLTyMip06kX,ye6SUPDliXCR2kMs,uBLgyqooZqK2fhS3,wLwcMP8mVXOPbZ1o,ftpGCWKIsTJtkuzc,8cuzjYU2ojpqgYq0,5LekI9Qss48gknk4,ESxBgkSghfXvmjei
user_0C3AfgxZ	32m5suoC94ytD8Ed,punIhlBkwM0vB9oy,vkOg9ZAiUgUT87k6,w7mecs8GtHUCTvR1,7Gsb7yKtAJNCvWez,1K2pmfod8jGXqAa2,YwURIu6eZDCJyuEf,5JJ4pQSPULkFbkS9,8LgQbYbM6Vz2my0y,l2kISVY4j8iz1Gg7
user_0CFuJU65	vkOg9ZAiUgUT87k6,32m5suoC94ytD8Ed,YwURIu6eZDCJyuEf,e8SzjFTY8PQsuSv9,EBB7mUheKyVbv6OI,7Gsb7yKtAJNCvWez,7PX1VlK5HWCGAoFE,8LgQbYbM6Vz2my0y,DDWsvUWLCl8gpWpA,TcUb75QrVdYnF7Jo
user_0CbWuNI0	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,7Gsb7yKtAJNCvWez,YwURIu6eZDCJyuEf,8LgQbYbM6Vz2my0y,punIhlBkwM0vB9oy,3shrACNQQ5eeQEAO,FS2f3ubSCSZfY23P,w7mecs8GtHUCTvR1,1K2pmfod8jGXqAa2
user_0Cotdga3	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,rbNba9o60sGjKLmh,D3bTn3ZNBGoZ2fV1,h4FVkBtXFDQSrlbX,8W03GdF2ZAAvMFPP,iioxNHQSzVB0cAz4,YwURIu6eZDCJyuEf,3G6YdquxUGPnpubQ,eZO9mnnl2T2ngRDN
user_0DSG0TfC	ULcqSgalKKpn0aCm,L30Rd3oIaiNRv60u,2eDU0q6tama4XxgS,HehHS3jlKQluNrYp,TFGOLgaXWeOgjPZB,NQsyu0WN9cT0kV4s,OL3Jj3pQqD1ii4VE,FMUp28SPoyq2oo4l,46hp6lkAQ8HW9MdC,CGo3Inu0mr250Tof
user_0DyyqPkr	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,8LgQbYbM6Vz2my0y,7Gsb7yKtAJNCvWez,YwURIu6eZDCJyuEf,3shrACNQQ5eeQEAO,KnMItrBYhHFixzJT,xUUOseyrN2OUkrnA,KKmk2QJLVj2Aqsjg,1K2pmfod8jGXqAa2
user_0Dz8cglH	15hcBfdPhrtLVay2,vkOg9ZAiUgUT87k6,LyshXV0F326xxevp,egq2LnqQAelSNcgF,kBr0IldeL8nPVe8B,EWuwnlfNUZaBiZTx,kHext4kltqDFZgku,HIBhu9iJsSUZE26G,ocGM4mOP4fZNZlZA,s30HumOD8Q7oOOzw
user_0E4xX7qV	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,e8SzjFTY8PQsuSv9,7PX1VlK5HWCGAoFE,7Gsb7yKtAJNCvWez,EBB7mUheKyVbv6OI,DDWsvUWLCl8gpWpA,8LgQbYbM6Vz2my0y,6tNm6X39hx0fsKMS
user_0EQGV3Rr	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,7Gsb7yKtAJNCvWez,8LgQbYbM6Vz2my0y,3shrACNQQ5eeQEAO,EBB7mUheKyVbv6OI,e8SzjFTY8PQsuSv9,6YdzDwnoQ34wZoyv,KKmk2QJLVj2Aqsjg
user_0EvXBd9d	gwvPArYgGYjVpxjY,umrRdJWS4OmW2Kw9,FEI4yctSyeux0vOb,KJQJ2bjVe7c4ezjz,eiSHQDeHyveiqaH5,ld0wojpV5LPeuUZS,04xnUkMuWlj5eDgn,MwnVtpCds5ncb4zO,U7S1dz0bq8sdsH9w,lQ0M2sQgN53LmTXt
user_0FOxZwdv	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,7Gsb7yKtAJNCvWez,8LgQbYbM6Vz2my0y,3shrACNQQ5eeQEAO,TPJ4APR5Pcv5OglJ,rZTaQ73HsP9emGs8,NeiQXDjkqQXiLxcR,ye6SUPDliXCR2kMs
user_0Fc6KYaN	wJlFV9up9jdvoec2,TPJ4APR5Pcv5OglJ,32m5suoC94ytD8Ed,2wq4LkRnQae1ASuG,A5v7kBTjtG3zNKX1,XXproVvpAKDgwb4w,DAyIiLAXImnqbwUm,0Sc2RuEeQcZWzKko,sqOOQ5Biw4205GcJ,OeHaD6VHW217p603
user_0FnTcL48	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,7Gsb7yKtAJNCvWez,8LgQbYbM6Vz2my0y,3shrACNQQ5eeQEAO,TPJ4APR5Pcv5OglJ,EBB7mUheKyVbv6OI,KKmk2QJLVj2Aqsjg,xMkeAOwn6AzEeYGh
user_0GDPm7Vw	nn8OOySF7hezKY6Q,SPS3mEgM1nIMJUoA,PBCx2GLojHuxCyry,4LP7TveQEeo3Bbds,nQlsSWoUVEfTHfCu,e4bP3ggl7XuAucez,leNR0bybZvrm2zjI,plqyJyRTIreqCTfQ,2OqZ8DSeqjDIyF46,7Oy0zL70yicbB3Fv
user_0GoDJ2Ki	rbNba9o60sGjKLmh,iioxNHQSzVB0cAz4,8W03GdF2ZAAvMFPP,h4FVkBtXFDQSrlbX,kQYKOpACJ7CUOZVr,D3bTn3ZNBGoZ2fV1,oRZYfgzxewAp6Rgl,YhuXZBiCxjMR4FfQ,kBr0IldeL8nPVe8B,32m5suoC94ytD8Ed
user_0GqMZJ4D	rbNba9o60sGjKLmh,iioxNHQSzVB0cAz4,D3bTn3ZNBGoZ2fV1,8W03GdF2ZAAvMFPP,32m5suoC94ytD8Ed,h4FVkBtXFDQSrlbX,3G6YdquxUGPnpubQ,vkOg9ZAiUgUT87k6,AkGyrviNXUf9Hh2h,kQYKOpACJ7CUOZVr
user_0Grqd3zQ	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,i6eRQgNB2UlIVUSw,TPJ4APR5Pcv5OglJ,e8SzjFTY8PQsuSv9,NCONeOaMBitsyTJt,7Gsb7yKtAJNCvWez,GKtJv0c2UVdJd6ZP,QGDCsgQGLK0B2c7X
user_0HRbaLUL	vkOg9ZAiUgUT87k6,32m5suoC94ytD8Ed,EBB7mUheKyVbv6OI,YwURIu6eZDCJyuEf,N2mwT48xXeszHjQG,7Gsb7yKtAJNCvWez,PQ5mhrOFLjESPGh5,EWuwnlfNUZaBiZTx,punIhlBkwM0vB9oy,h0LCV99d7Kd4dwtv
user_0HvfQN7h	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,rbNba9o60sGjKLmh,7Gsb7yKtAJNCvWez,8W03GdF2ZAAvMFPP,8LgQbYbM6Vz2my0y,D3bTn3ZNBGoZ2fV1,cU7wXxFv0vUJTZwr,AkGyrviNXUf9Hh2h
user_0IuFZfWT	vkOg9ZAiUgUT87k6,32m5suoC94ytD8Ed,YwURIu6eZDCJyuEf,EBB7mUheKyVbv6OI,6DwzPznhYUCUe4Ud,e8SzjFTY8PQsuSv9,7Gsb7yKtAJNCvWez,8FRtvOKGmvhiSygs,RqCgCQngFFB2vUVI,i6eRQgNB2UlIVUSw
user_0J07JlC1	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,e8SzjFTY8PQsuSv9,YwURIu6eZDCJyuEf,7Gsb7yKtAJNCvWez,7PX1VlK5HWCGAoFE,8LgQbYbM6Vz2my0y,3shrACNQQ5eeQEAO,DDWsvUWLCl8gpWpA,EBB7mUheKyVbv6OI
user_0JEi9eod	vkOg9ZAiUgUT87k6,32m5suoC94ytD8Ed,FuVju35v7B0jtKeU,YwURIu6eZDCJyuEf,lzcGLtFrXW6M9Gd4,6tNm6X39hx0fsKMS,EBB7mUheKyVbv6OI,e8SzjFTY8PQsuSv9,kBr0IldeL8nPVe8B,U7vZRy9ULsBz4WKH
user_0JLfWZBF	vkOg9ZAiUgUT87k6,32m5suoC94ytD8Ed,YwURIu6eZDCJyuEf,7Gsb7yKtAJNCvWez,8LgQbYbM6Vz2my0y,3shrACNQQ5eeQEAO,EBB7mUheKyVbv6OI,e8SzjFTY8PQsuSv9,FuVju35v7B0jtKeU,KKmk2QJLVj2Aqsjg
user_0JN1caiN	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,FuVju35v7B0jtKeU,YwURIu6eZDCJyuEf,EBB7mUheKyVbv6OI,N2mwT48xXeszHjQG,kBr0IldeL8nPVe8B,e8SzjFTY8PQsuSv9,W76HHMmaR55GOdKo,6tNm6X39hx0fsKMS
user_0JQJ1feD	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,punIhlBkwM0vB9oy,w7mecs8GtHUCTvR1,PQ5mhrOFLjESPGh5,l2kISVY4j8iz1Gg7,YwURIu6eZDCJyuEf,kHext4kltqDFZgku,7Gsb7yKtAJNCvWez,HNUD0wU720tV2jyu
user_0JV4ITj1	0HNuxBP54vQhSmyJ,F51ymL9EjgYoTQ60,QFoGHVq3PGSUIZA3,fjJY9eVw1xobi8EV,XTAlmfW9AChu2x8v,01Kgo55olDKOHxQz,OG27J86mlmZgBeWO,AtsURyUaBSeixw5w,eOseKSKlLPhmlJWx,ZU8EkbQHnwSln40p
user_0K0qvcbo	vkOg9ZAiUgUT87k6,32m5suoC94ytD8Ed,7Gsb7yKtAJNCvWez,3shrACNQQ5eeQEAO,YwURIu6eZDCJyuEf,GpQNCV6xUkKYczKr,KKmk2QJLVj2Aqsjg,8LgQbYbM6Vz2my0y,6YdzDwnoQ34wZoyv,rZTaQ73HsP9emGs8
user_0K424WN5	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,7Gsb7yKtAJNCvWez,e8SzjFTY8PQsuSv9,8LgQbYbM6Vz2my0y,EBB7mUheKyVbv6OI,7PX1VlK5HWCGAoFE,3shrACNQQ5eeQEAO,KKmk2QJLVj2Aqsjg
user_0KJGwOuS	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,7Gsb7yKtAJNCvWez,8LgQbYbM6Vz2my0y,gKiwFYI6YtSXx5tw,3shrACNQQ5eeQEAO,EBB7mUheKyVbv6OI,FuVju35v7B0jtKeU,hlN9CU4ghZnLAyoP
user_0KK1hOk8	39doFIRBCikXYCTo,vkOg9ZAiUgUT87k6,mFCMyvJFUDjX7ixS,32m5suoC94ytD8Ed,2w2zPkr1lDvDjh5E,rTapC7xn1Xz62yOf,TYkYW63m3EYMEJX7,plqyJyRTIreqCTfQ,AvZ6eMLFGSylmqUr,X1gnKQZ05twM8DHQ
user_0KPh2Wos	vkOg9ZAiUgUT87k6,32m5suoC94ytD8Ed,YwURIu6eZDCJyuEf,EBB7mUheKyVbv6OI,yuNZU1DeQKqZnnIi,8LgQbYbM6Vz2my0y,4Ftif9qQReU76eG4,m6SuPB9y0HISzpyt,yd0Bi2v0VUkQkKt3,7Gsb7yKtAJNCvWez
user_0KwrlGof	32m5suoC94ytD8Ed,vkOg9ZAiUgUT87k6,YwURIu6eZDCJyuEf,7Gsb7yKtAJNCvWez,8LgQbYbM6Vz2my0y,3shrACNQQ5eeQEAO,8AVECDHAJecitgwx,e8SzjFTY8PQsuSv9,KKmk2QJLVj2Aqsjg,EBB7mUheKyVbv6OI
