id	highest_gem
FPX3RJUSzW1ee0Pd	2
FPtPv1IlXxOm95SH	8
FYUYb99Dm1hmdboI	6
FYkef03Zi9m6cCvV	7
FjlX7rjHiuUFzVEO	8
FpSHrgYPnwJvVuZE	4
G38EbmZnsdSwVtMR	7
GWg44HAeozNMEqqw	5
GY1IQiRvbwcLlmsN	2
GYA1UmcYXsGWI9rW	8
GimdR7TQLw2wB2Wl	5
GmyeFMLwoVAXRZIx	5
GqkAKeka9w7jrbXs	8
GsGZVExrQ5wxOcIN	6
GvQ96tDSKbhqIgTZ	2
H1lK3b0nb42Lr6aO	6
HBAdFFQjTWtYGrgQ	2
HBMqZB9ngvubiKfs	2
HBPM2iuOUnRx6waY	2
HDEuGJhgIhYbPGPy	8
HQstMkks11ag6En7	8
HVsxu5jJtOctRg0x	8
HdDsdgvppaDF8Np4	2
Hi7B7dis0g97UfxL	8
HqwHNAy1DQlJ8fGe	2
Hyq3XxfA3lTHui7n	2
IBk6QrTS5lSLF6ff	2
IEu8HSxal9GfCOwk	2
IIfvFDMGH4mskejp	5
IO05MYQDzedyruwW	2
IW6Pqkfe8AThQuQd	8
IgA3AJkhXm5elK5s	2
IrEj8ql5vNXiNYW7	8
IsusOuul70bvkylG	7
JIK2PNLRVHoJCrWT	7
JJTb1jsGHS2qkXUA	5
JeXkS9kbW1f7hf00	7
K2HmGqLpVQVrAhc5	8
K2YEr0czHqO0pvp7	8
K8BxDb8wsj1cj3Kc	2
KASLLByjC9dgOXvq	8
KEOZG3o4ClGLUbXA	7
KJSJ1BNKUGEZMUuz	8
KsuRJokxNoGSwPAR	2
L97nlf2LCYgo5y7X	5
LLfFLFkxgCxlkP4P	7
LQqJ4Htn4Z6r7Iru	2
LUAiSGTJH2YyNOkS	8
LdMhLtcxOd1Suoka	5
Le8trQ6g6i2rnSkg	5
LsVQdqyna6hzqngh	2
Lz7Tb1CjVhI66I3b	5
M63nM2gA8pzmDGBF	2
M6rA7Ikwl5wc3cfC	5
M8WKdsKshl6lwE8G	7
MKRGII7YLH6MrLVx	6
MN751ptIuGp7kHfF	8
Mf3RIOiLHi4Z0v80	8
MuLZMtAazQVGkpLG	7
N3NgbW7GRmCSq7em	4
NFq9a3oLSVaGKJWx	5
NGg7JteKto6zyQNR	2
NajCytZ578L0IYp7	4
NgEMZUyF2Nvx8czR	5
OBtjy5GGUTd9d5md	8
OR47MUHNtvK2oCIZ	2
OUb23fwEUhwC3Uec	5
OWDZdEIH3zJALwGu	2
OWSOLQoxnic46G9q	7
OZaiD3sBLG2ExjE9	7
OayKiQSj2pCOqXuU	1
OjBTZAzKfEcZPWkP	5
OlMgiYbFuwQNGl7B	5
OpVCl8LXb7oPZoff	5
OqpojKypQYk8NKKN	5
Ow63moHv90ZZBs9Y	2
P2S6M5e4PN1JubTp	8
PaqlPX5Zggr3FCkk	2
PiTkOYDEcg1Nrj8M	8
Q08DjqYYbc3AvWQx	5
Q3K4hbdhBpTcJDwT	7
Q7B8NyBcIjsqiQDa	5
Q99NyBd60r4LwSlm	8
QABFtA5886cSKdKZ	7
QZQ0WDuM3qn2npyU	4
Qih0fX9x2yvBTWlM	5
QizhJCl5WkENbRPK	8
QolCFgn0lRVqdc9N	6
Qt2K4v72FoqrtJng	3
R0yC1zJsUQGrQQBS	2
R8NkOOGL29kp50Xj	2
R9FPAH5zckVuWCEO	3
RaqrNETn1TQCK5EI	4
RbM2Pe6nEHAk99L6	8
RbaDhF3EoczkLKJl	2
RdGF9m3dpKiY9VMz	5
RgcvaoASogB8ZgG1	6
RlFJdyV7eZ7CTtmc	2
RndClW8Tkl1HqXlR	3
RwdjjjtdN6FuFbpf	6
S5X00DvNVuakKsSY	5
S83x0GLYKPJOntdU	2
SGY1zM5vXy6T4rdB	2
SIo6WQySf7tjintF	2
SJZTstFdLSYvbRAi	5
SM4HaIjNbIPBi1v1	6
SVJcw9t63cSjG5dc	6
SqPg5jnGa6IQS4Np	8
Sv0ymEt6a8rNjQ33	5
T8NwtBtVyhHaD3LS	6
TDA3YBa0zU4Thl4K	8
TEyFkXfGa3tL7Ual	5
TL8X5uSVhhOgSbP6	5
To40EiQam44BMoaU	5
Tvty0QvaU2vVFl8U	5
TwBJLxtsSwb6lS6c	8
U0FENiX7Q3Sotkdz	6
U7Hk0KnmcsvKjhWj	8
UPLD6S6eyvsZN4gr	2
URdi1ei1QbhwhixA	8
UfKmWMisINWbKOiy	2
Ug0MLGzHfYsDDR5I	8
UyqwIKfoa3Nvb0O1	7
V4OLXpBy0DSAKkGT	2
V9AsBRxi74ICF1n0	2
VAfPQbtXvfEQaFr0	5
VBNBNvYJ8N5FSiEY	2
VHErlwTCPoyNJuQi	2
VU5ANusWU0Ke2BzU	5
VWAREgstZQgCipEY	5
Vf5j7qwdiTVNWVDZ	8
VfehpOHtLDtScrzT	2
Vpq3Rzam5CUBNSV4	4
Vva58DTYHmAmkT6K	2
W76HHMmaR55GOdKo	8
WKveP1sEHhO9b46Y	2
WjjlUArIW1yehLEm	5
WjutnLtDphv5aJuU	8
WpeEeDBbh55a1wSF	5
Wyc0nQ3balRFdXt9	8
WygEEvaKJRnbifHW	7
X0Um6HD3y92qUP4p	4
XEbyzfafxVpCCLK2	8
XNpTQcgVbBOBmShc	1
XUNNVneMB0g5byam	5
XliJqnJl3Pj8Pyk2	2
XxOxA63RlBLw1IPR	8
Y7mUC1TOZSrTXXT5	2
YDiJfkrG41MOwfPM	2
Yh6WQXVEjRQbrnFB	2
YkfxTMmU5Ann2bc7	5
Yp7Qo2OJ8Gmjukwy	5
YrLlxzw1QeYCPPHj	1
ZR4UokUqcWBT4ERU	5
ZSnDQ7mhvjJLx9IG	4
ZVjUg4rlqeq2zk7C	7
ZdoFOuRY0SRYxxuw	3
Ze5VVCw9rV4ARnyn	5
ZemsKvmUV8KRzWBa	2
ZlQqLVeZSSqAEPRw	6
ZpxSiZG6djfShZ5o	2
ZzEbCHIWNhs3KO2i	8
a5OczTk7N77LtLPB	2
a8uQsr6gnzSCNrFB	8
aAgHqfnSMirpMJch	8
aEcWdVssKTA0Ayrh	8
aEp98lLrwuy1skic	2
aFpUIT7NVYE7vApP	4
aJJFeGR1q8Z7PgOa	8
aPuitvAimOOedYfJ	2
aROrKtvol5sZLhe3	8
aelKmXCNJPMQjJh8	5
ajCFQMy7isCa65f5	7
ajEHXWibIeJ0QjNg	2
arJV2x5YxfzhWhHT	5
at3PT9UKQc02zdDm	8
atYPhOBgftQnYnCc	5
awEmTXDvAQ1bkwbw	5
aycvFwZsjebk4uNB	2
b9peLlE4TOkpcWLP	8
bDcDcHWitglRzpjs	8
bO8CqkhB8rDqZmrD	5
bPnxX0fOvEtfqC5u	8
bWb4nFiwstLKUoF9	7
bkRNQTQPa1dJMXXF	8
boY0yX0FyueQWRz3	5
bsrJbdryqNzHTJdj	5
btyT01GLeK1CIJLT	2
c0VlO6Z7FmfIJLVV	4
c6ueRbNvZotL2J6q	8
cCmrNVfqxEnJiKrQ	5
cUtnKV2vkqB3hhkX	7
cjJf9nKZbPPH9jNr	6
ctHdDW4e6qbv3Bpu	6
cwXiTYqrj7AOGn7x	5
d0cUXIetpuWjoETL	8
d4jloWrQ8efcvfEG	8
d9pRpLrnwWFU3JrE	5
dCXow7UeOYUkCAlT	5
dGZ8mcY4I7pXr6pP	2
dNBhVtX7vyAivxMH	8
dV9QAVnOrwawFhpy	5
dWoAt8vpq9BABlIH	2
ddr1apP2Nb4f2J1c	7
e7GKOZCwcn8loQUc	6
eKYCF2dF9AYnC6Bj	5
ejaNdQM1LyRBY2lj	8
f2qd0T5pkcKiecJe	8
fGkY9LqzBy6dKrsJ	6
fJNkrQxiddOsCDYX	5
fOIiynwkzYQNoQGP	8
fS3WeUoqQCJuT4ES	2
fVmzk2fNNoEro5Kg	8
fe5w6tU9AqR7g3l2	6
fnKWlxwLsOmN9hrg	7
fraglE0va6B3zUwB	2
fw4e4X87bhmbhctK	5
g3S4bon3RoqJxaOZ	4
gAK5r2ZIkCKBLVQh	2
gDfVHIDsrm8U7h3g	7
gQbivAeNzh1daC1x	1
gaGYxFBjeKKKEfke	5
gdaXlocrVDqmuMhL	8
ghNA74qTJqFDTyIb	7
gmZBYRybDhgacpoZ	7
h782Ivmxd3FJwJAt	8
hAAKjUapnp13dGUH	5
hJ8v9focfSnyWUkb	8
hNbmdt2RAtRQabP6	5
hPdocEW4suRWAMMs	6
hQrLYBKnaOrjSWUr	5
hXJCm0EIcpGQBU91	7
hZUd9aA4IspbdIGY	8
hn1Z3OcZ4HM3hcIi	6
hsdlo91hgfCA9SYm	8
hxuIEr6eVIyxOqJp	5
hyzbevOgELowDytK	5
i6sQnvbs1wdujJbo	5
i8EV9oYsJ7YJjMqy	2
iIoUVddmfM2SsNQJ	2
iaFlP0G0uvDiKgbW	2
igGWV2YsNZFjVCDD	7
io7RYSOjKB4YpBKy	8
ioVy1CbhqOyA78wB	5
irF4wFu0jPfLQlJS	8
itm1Oo4kfy6PPczv	2
j1PyKsCS3wLBVFvf	2
jCI5mH9aVz5cPk45	5
jV4t2MeDio2bvKvf	5
jaXj8qaSyZXvUYMy	5
jmq9rFLdkgwkaqyV	5
jnBjGEQPEDhmnsmQ	5
jyMudL0rTgO4ecto	8
k8we0PQJvdzJJVWr	6
kFBTJVLf3HZ7gP3A	8
kK8tqwwMRf7ov9GD	2
kKjUFZ3MUeC0sSdQ	2
kUpKZvqw7TMafVOq	2
kXNEvIQ4JLPHMu3H	5
kYkF4YYPiyKeEp1C	2
kb7H6FbRLXnCra6z	7
kduALxkKk2rXxDnp	8
khZ2WJYSVdWFAP5X	5
kvkYqwXP7tOAKp1U	8
l1FA3KTAQuQ3Dtnd	2
l75k84HznVBdSGb0	3
lJKIbZNzpS6IsNgh	5
lv9JQYLpttM0APQM	6
lyI0vYf0kqTnEoZa	5
mDZtvY9S6ibMwHFx	4
mUw1ozrXvG4WXXlk	5
mVGnqZPX84ZKJmYS	6
mWqAtqne8tHdvVMg	5
mX0bQtvN23Ka95Pu	7
mit7W1Z3qIUkYb3n	7
ms5Y6HGhKJRgAEfe	8
nDj04hpTitHH0aLf	2
nGbehsrSHEb3SjhK	8
nOR6IIqGZyLalr0t	7
nf11ZhtshGcBRp86	7
nfAhgNC9lqEpH5F7	5
nj2LZQS5dAVH9OEc	8
nltzxmV9aWW7F7z8	5
nmaz482rauJH7DrI	6
o4lsAdzlzjhN7Ikh	8
oE6CU0w1MVKlCSYp	4
orLkyDKbxldM2FWk	7
orqd5q73BFcLrynf	5
osw9SRFXyy4gEd5y	2
otqYVfzTBEGvP9QW	8
ovwCfmoskOj6HWO0	8
p5MSuwwvXMktLevN	3
p6I5kI9p7pJYkLmC	6
p7ObiyfEKF4u6AHs	8
p93ermGSZ2AeCDob	5
pDMwL6cVVMdp0VaI	2
pGV7Q2bxnFniR0mo	2
pHQyFTUPPm40AFP1	2
pHm3fwszNHtG8dGP	8
pQDcvNOsnIyX1nBq	2
pYd5qY1VOn8sXJB1	4
pd6Fc2jk5Q0Ff94G	8
pimD3R6PdlVduyxU	8
pkyLMsyXBAfOYZmO	8
pmZRpvKNK7Z31gW9	2
q670LrnFS35Gw4Xt	2
qJBVhze5CTPPdNia	5
qLzjYA0sy0PjXasA	2
qWixc9vv8KASWWJ1	5
qWlQu30NHr9zwemc	7
qnmsOhb7GYwNNC4S	1
qve9eKGTh5xDugcN	5
r7XXPnJZ8iwWe6DR	2
r8N1k2hvPVZzeMOo	8
rFJl0J6qKPImZWOQ	8
rGmsXNDV7uZSHpha	2
rUM4MqRAtABrxlsi	5
rZ8By2I0wKNm1r0t	5
rZC1sJR9PtU6cnn1	2
rcuLUn0QxEn0A7zw	2
riUExC9uMFnzzWqb	7
s7df1snBNQo3iEbQ	5
sEy3cQGc1GEYMfo3	7
sOoJofOYOqLMnILX	7
sQUu224qaM0oXnsD	8
sYEimbZZ7OxXrXGG	2
ss4XiPMCn4fVwEaZ	5
suXR1izYSTnGznDF	8
sw4hDzBD3jRjTpTJ	4
sydh90xV0OfdOwka	7
sykPb6C9g1A7j8u6	5
t8ivjFJ3DcTXmqvQ	5
tBrTVhdNgIeqseCr	5
tHaWeSa0uYsamtO4	2
td6odZZtNFj6Toou	8
tjmZ6l0UGNUdkDo7	6
tl6hzwYYouXQLsPc	2
tnEkkF6rJXGe0hmT	5
tqOQJQT0ziGdhRqD	7
u0Fr89bDENP5GxxO	8
u0eiYoYYMGrIcAEG	2
uB2ElnNLngpQxnh4	3
uBdBFaG2exdhftNt	6
uPCVpOTxRANv8GIY	7
uQUCBofXJAQuX3pV	5
udXIbfgpUmvbojPu	4
uxS5uyJRbfPLGj3a	8
v5LjTLdaFWrF0hQI	5
vLOxBUyx8PxEj52P	2
vNTV5rhxIB058ixT	5
vOv3DUaWsF5t14WL	4
vgb5mbV4QgvHSOkd	5
vi1iCRMPE30DbNjX	6
vm3cALIoZsTD3u8s	2
vntKi8konUl67zoz	6
vxt7afcA3E0JgFax	7
w8NGSupy77vwcTEP	6
wDGNxY33wVBqikW2	1
wDyj5kGIYlf6Wpyx	8
wEKsUHidvIM3hwic	4
wZPBtGueCgQVaHrM	8
wb4LtQFBXxV8SaZp	2
wbnYTsrkCNoWg6FI	2
wlbjtH6a2eZ3I0Do	8
wpldgYOXl8u6XbLE	7
wyPLoC6mZhiIrU5x	6
x3ltjyBuZVokhEFy	5
x8WA671mwM4ObG0j	8
x9iYvZSa8hQpBgHJ	4
xCql2symhhwT7kFS	4
xKv9A6zDQOEySeNZ	7
xP4yBFzU6zxzoXNp	6
xRrv5zjNMt6jzwM9	2
xSA69YbYLj0ttffz	5
xaVmsFnG4Y0oXoYd	4
xhQWWzKY5TAwaliZ	8
xsOwdyv3fNkoH778	8
xx1a9TIVZrJ9vQ5t	1
xyEzYd5a5VBnhnru	5
y0gQrZYxA28VeYqD	8
y1Vp4R9jiSUAVnMP	4
y63jK5iIMCq8FolZ	5
yATNISOeX1yCRt20	8
yFJONyH8gTHh4twI	8
yKQ5XEipqab5hnCf	5
yQIJDbt3yfSoXAsU	8
yWrNTxHepxJrplD1	2
ydk0QQx8Y0gBTGuy	7
yfm7RER1PWTqgjIp	2
ygb3JZh5dHk2aHPf	8
yhpTlaoFlj6GAKdN	7
yiNlhVBKm5rEIWXf	7
zJFXKccAUpgRlHvZ	2
zP4PDYaE5f7iMHWQ	8
zQxKNNnqC83tzTAK	2
zbI3TrMSY2chqzRz	2
zgqCahzGTxn675I6	2
zkRV3WqJN3gwKqfj	8
zkoUFnGRp3w2yOpm	5
zsDz17XVFUFYh4y7	2
zxC5zqbgoYmtcioA	5
zxqKvtGMOMGE2ZeX	8
0009fFIM1eYThaPg	5
0010xmHR6UICBOYT	8
002Jyd0vN4HyCpqL	8
006TYKNjNxWjfKjy	7
007LIJOPQ4Sb98qV	8
00CH4HJdxQQQbJfu	7
00DZ3XCAQb2FdCc6	8
00GCd9HYEge6Ntwi	8
00IeldeA9ijZOL0P	5
00KSCJkYb8JKa4Y3	8
00LuPWdOccBb09bW	6
00P2bHdWFkghmDqz	7
00QffgsztgGgsSzR	7
00SamUQvdyE4IFBM	4
00XWljDxNBgBKEEA	7
00XqgeUPDVrT61xn	8
00b6fV3nx5z2b8Ls	5
00hFmpewuNvc4dRL	6
00i0OB17z3m3yamO	8
00mLjKFmaTv9MdaB	6
00sGlOdoTnPYRdQx	8
00uLdNEc6yXbIxyW	8
00wqHIO65EtRyRQM	5
00y9HkWQamxnKYkj	7
0130k7BE0WlWUQLg	8
013BFFjvohJT9dW9	7
013QDoTqbexEwkHr	7
015mOiDcGVtkg1jP	8
016u1nUp8JLDgd6W	5
019Q5nZ079pL34qa	8
01EKNot8qVgZpKM7	7
01I5p010ajulr0O5	8
01Kgo55olDKOHxQz	8
01OcWE6ZDS0RAb4I	6
01PEcXojWOku5MRB	8
01ScM29f0wF2Mnkq	7
01UK70YxnzhjXY29	8
01WKqxhGhBvvJnwb	7
01XPcGzdaQ1hv51M	8
01Yfj2T3YTwJ1Yfy	6
01ZrNpwRWi7Ymdp5	7
01aEJBqsPHKZrLPU	8
01cSV4vNCMDB9PFw	8
01gyRHLquwXDlhkO	8
01jFG9dR1nQslWWL	8
01nQ4KgYEBMGutCI	8
01oEzhZwXGG8os3W	6
01rMxQv6vhyE1oQX	7
01roaWOWaMzXjMOV	3
01zNMO11qGa7tLqa	8
021X4PPO8YyoVVkT	1
023KeDV5DfyxOplZ	4
0247XD85scrr19o0	8
024TpJ6teKyeGvSH	8
0273l5ZKx90qFfxJ	8
02CMntrVK1cnVK1H	2
02Fwq8lfGcaP9UMZ	8
02G1GLGNKjF0N3FP	8
02H3FqI0CSBlYFo7	6
02IJEnORh7mcQteb	7
02IdSftu0dkA0iVg	7
02IlXCADUctM4gQG	6
02JeIZCvClyeiCA2	6
02OYdFsj4Vm1TPzK	8
02OxM7m8nuckRPQT	6
02Oy8Rwe5K5TIhjk	2
02RGE9FNH65RtMS7	5
02S1suSkE5dLFuQh	8
02Ttc68td3DKnlmw	6
02UCYtEhGjU61JpW	8
02ZVmbFaT6O2jzvP	2
02ZnlCGZEbkfCDxo	2
02aVw14JYYKIQPjB	2
02cqDSNdfTyOD1AI	2
02dc1Q6fV1ByAouz	7
02hzaGar7vnWY4fJ	7
02io0Qj0jV8AFKAF	2
02kJNQnTgvS2rS7d	7
02nj8E8TzgIiOkiW	2
02qUw5OPfkNQ3fm4	7
02tlc7d6RtnNVG3P	7
02uQlK780Tu47T5Q	8
02vi0nu34pnQBFi6	5
031W8ollPLnlC7mE	8
034NPLNuPE5imC79	6
035ncL0cjsGJjdlA	4
038kN6re1prxGxWC	8
0396S8l04hSNqgvk	6
03HNWu7ijqITTmhS	8
03LZ9iRhQ7uFg5le	2
03LtQbTmxkIPDSau	2
03Oc9WeMEmyLLQbj	6
03PbpZwYbPjAUBqB	8
03QgQw5LI8x5RTQK	6
03SofeSkL5pqrzzo	2
03ZQb2ctptlPqj4K	7
03dA0mAJj48nT2ab	5
03gnYayYn8Pp0OAC	8
03hJ2yGcoH3wqxP4	6
03ouHBQJK0nNWXUQ	2
03v7PvCepe2N5A6V	2
04De6xuVrG7a4Btw	7
04FGELz6IwgzTFKA	8
04JRErOFeFlp2r9E	8
04K5rnl1mJjTaio1	8
04KHUHlgU8Pg1MAu	2
04KIChLwxgxSGbkD	5
04La8lPgQyShB5dr	7
04OjszRi9rC5BlHC	7
04Q618WBtwDztix8	6
04SlsdFaQIDnfvr9	8
04TPzuBAKQbFsybr	5
04VQcD5F6IvrHdYv	8
04argIsiFAhp9MdK	8
04deZCVGi5AOgYIS	8
04elyRT3sHC2gYJK	7
04hRFEZYqKydzBBi	8
04i2mYvUTLAAPOWc	7
04iQE4VyxOcloEVY	2
04iitW3ffa0mhpx3	8
04k3rCH5GDaZmhj0	8
04nczi4NwZVLrqHX	8
04xUDjAYC14jsHyH	7
04xnUkMuWlj5eDgn	2
04zfuN5RyJWYXDRH	3
0506rdPHUIeypgCP	6
052Kz3ZAzDZv1q1N	5
053TqfoRuva4bHoj	7
059KAuaPf20vTwoR	8
059XHCE9DRtxPmRD	8
05CDlw5x1u6DiCU4	7
05EPdUWvKgjEsb7G	7
05TEjmk7zERb9ifk	8
05TdCap8Gk4jFhSQ	6
05UIyptPzMsGBJUu	8
05UNBlb2uXPMkcN0	2
05XsL40AXmzjNMtr	2
05YiBMImmBZ7ETrk	8
05dfzMdtNY6j9ru4	8
05eO5MtW4pezH5XU	8
05jXxX3fLknEmiqi	3
05kPnJrEqt4aSFwt	8
05m78XTGJ0C81Fdw	7
05m8Scx2aFwkq6mV	8
05ogun9U0TYSNQDO	7
05wN07o5FaCodFNW	8
061VAra6dcMmBNrv	8
0632Mc6uw64xV8nF	8
063UJy9rv6oq9Mqg	4
067ZDTJ63pkB5cbb	5
069HWkkBEUhf5COD	2
069ypVgJl2FDc1F1	7
06AGErQNQo09uQYU	8
06DtRAZohpZIYvDq	2
06Ea7ZmF5wNljc0O	7
06HvNTU9M9lnH71I	7
06L9OJ5nRqKnO2q9	8
06RbXqS3HIr791iJ	2
06SC55N0G2GjCNuS	8
06STi7RGcsQIBCjD	5
06W5HKRMchnJC1qv	8
06WySIW5UDIHF2Ri	8
06bDXIXGCiYMtcUy	8
06cNniVzUDdwzA03	3
06jt8puPJmLRwXlT	8
06n2Jt96ct6Ba3U1	2
06pbFHF18RwKu4t1	7
06rteak9Y3tv2Va5	7
06tDHM4rk2EbHpnT	7
06v3fePSdhXxX3NI	6
06viA6Rt4KE728nn	8
06y9Zku5zFI8iM1Y	7
06zhrAWwQitLxdXr	6
071FteQAZNCprAq3	8
071kpG8MS2veLYAu	8
0732MPqq4gzelgm0	8
077LzyuEoxWv2NZq	8
078ndaBUEVsmdOI3	8
079OXXqfC6koNC3B	2
079gjbmpoIvJ7WGQ	2
079yVaWfDrL7ulec	4
07A6WHsWKFsZSVNk	7
07A8gIjr1oCpQQQL	5
07AjGMk31TkPW3O9	5
07CXv8n4sD9Fy96e	7
07DgzvdwswlSllK2	7
07E0Wiir54qbDB8t	6
07EiCOnfR8BWkGXh	8
07JdCu6dCcvcW64b	4
07JhtfVVlSifEGu6	6
07NA52l7qNF30nxE	2
07QRvQw4sk50K7ZS	2
07RafqaqVSvbZgkr	8
07Sx1SuPHVwxCJB5	8
07ZlFqYMMkcui1ha	7
07bR4m5Oo4lvHJFW	2
07egxJjsCVK1NQYA	8
07gyukIu34j72Ujt	8
07kbgk3Au4WyGHs7	6
07kkTL6AEcAHgI9M	6
07l6L5MP8ZGyOs1H	2
07qIMK4LPj4gT40H	7
07qxWvKCXR9hamHv	4
07vFe4qlKfcEAW44	8
07wMWSylLpoThQWD	5
07x6lrZgOppJvzmw	8
07xcBM8z6t2AD9LP	6
07yQ7X6NLRdax13b	7
083o6BTQGwgM2L49	8
086rZE7CKmYfYCGg	7
087FaYjmGug8BP5A	5
089LVMgimaHdtHoB	8
089XpXWesGtVd3gz	5
089YVppIyuY7ouBj	8
08GEvjq3HFO6WRNR	6
08IqqLAe7gGB9bDJ	8
08L3yHF7hDfGpfQF	7
08P6BBGpG8Gt6Vbx	8
08QtcDK0rtDFogFP	8
08REaIv7ArjY0scW	8
08WR53LGwIIC5rOS	5
08YRjFhygbKD2ddu	8
08cN8oXwIYoUACWP	2
08d9WncYqwpgHuAE	7
08dDspNuBDh8GOqV	4
08dzAKoaqjhyOunF	6
08gdfPFeDZVl1U9P	5
08hJNPwNZPqt7zsw	8
08hnvrsSdmqDkZI7	8
08ldd51HFMBOdTb5	7
08mB1OdXm6t45Mme	4
08qUOEWDMXI6eExP	2
08rMHO1Q4u44Ad7L	6
08swBeDr2z5RedVT	8
08v0FvF1HMmprM3l	3
08zwg9e6EyoOLKAt	6
090uzuvKNs2Lia38	8
091E0oFGS6sBravV	6
094iXQQOkC8wyLde	6
096Ah0Td5vLfcIgE	7
096D4MtepS0WeEkI	8
09AOCIB5yktoz8B5	2
09I4YQcdsw1PVXh8	6
09KsPOlYFGFhhNyc	8
09O9TZfv41poOgLu	6
09OFtpTVDoedoEfG	7
09OveAcM2Xu5xSzN	6
09P9CUiyEWYbGmfV	7
09PanJdaeJ98j0Pv	8
09W5uzCuSKLQeyIC	6
09WNjzV6VqIUG2WA	5
09aWqN5dUx71Ypi2	6
09dys4xGPz7QSAK8	7
09g8LBVpv3igNHfX	8
09gv6QNbyXON5d0A	8
09kfPeHJOBfdGRlC	8
09latnlcbKIe4KkF	8
09mWmQm7ixF4cCjx	8
09qyQ5Mws5l0mybs	6
09sQQ4Vuv3Yo0im2	7
09uARho9w97Dfzgb	8
09x1tVvfWezpMRdM	6
09xsSB9n4a4B9x4U	8
09zRPbUiTrBZJoi2	8
0A0ol37RC6yxfazS	8
0A2SGcPC1FWKGZIe	2
0A5hn2Tk34p1g4ZU	8
